PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
"Apex Construction Group, Inc.",Valentino Caushi,6100,,N,Pulaski,Rd,39,North Park,Peterson/Pulaski,12/25/2018,3/19/2020,General Industrial,"remove and replace the roofing system (demolition; furnish and install new base sheet, insulation, flashings, bitumen membrane, and aluminum coating); masonry repairs (replace lintels and four brick courses around building perimeter and tuck pointing); demolish existing interior walls, windows, and doors; frame out new office space walls and drywall; furnish and install new doors and windows throughout building; furnish and install three (3) new HVAC rooftop units and duct work; remove and replace plumbing fixtures; replace existing light fixtures throughout facility with LED fixtures",113868.68,236926.5,35,15,POINT (-87.728879 41.992129)
"Marcat, Inc. dba Anmar Foods",Michael Casper,2142,2150,W,Carroll,Ave,27,Near West Side,Kinzie Industrial Corridor,8/30/2016,7/20/2017,Industrial,"interior renovations to reconfigure food cooler rooms (disconnect existing piping and electrical lines; remove and replace two rooftop-mounted condenser units; furnish and install four new evaporator coils at lowered ceiling height; extend and reconnect piping, drainage, and electrical lines and reinsulate refrigerant lines); furnish and install new insulated and fiberglass-reinforced food service grade panels at the walls and ceilings of the reconfigured rooms; furnish and install two (2) new sliding doors for reconfigured food cooler rooms; furnish and install labor and materials to retrofit approximately 120 light fixtures in the facility with energy-efficient LED replacements.  Address range is 2142-50 W. Carroll Ave.",78416.74,157454.58,,,POINT (-87.68035 41.887634)
Gerald Jones Wood Floors - A Natural Flooring Company -,Gerald Jones,3904,,W,Fullerton,Ave,31,Logan Square,Pulaski Corridor,9/16/2011,8/7/2012,Commercial,"Façade work, new windows, two commercial doors,",14500,23200,2,2,POINT (-87.724507 41.924566)
Six Corner Bakery,Apolinar Roman,4022,,N,Milwaukee,Ave,45,Portage Park,Portage Park,1/21/2019,6/24/2019,Commercial,"demolition; new masonry façade; roofing repair and new gutters; new storefront frames and glass; install new insulation; remove existing drop ceiling and partial completion of original metal ceiling rehab; demolish and replace existing flooring with new tiles; partial completion of commercial space HVAC system improvements,",84150,121280.53,0,2,POINT (-87.748143 41.95393)
West Humboldt Park Family & Community Development Council,Chet Jackson,3506,,W,Chicago,Ave,27,Humboldt Park,Chicago Central Park,7/13/2012,1/15/2014,Commercial,", a new storefront, carpentry, framing, drywall, ceilings, floors, flooring, painting, HVAC system, electrical, lighting, and plumbing",51725,141204,3,6,POINT (-87.714101 41.895515)
Michael Manning,Michael Manning,8706,,S,Commercial,Ave,10,South Chicago,Commercial Avenue,,6/26/2013,Commercial,"roof, demolition, façade, drywall, clean-up, materials, GC services, electrical, plumbing, HVAC, architectural services",89909.17,119878.89,7,,POINT (-87.55143400000001 41.73711)
Jeun Sik Son,Jeun Sik Son,6212,,N,Lincoln,Ave,50,North Park,Lincoln Avenue,1/21/2012,8/7/2012,Commercial,"complete rehab, parking lot,",150000,204850,7,,POINT (-87.714493 41.994647)
"Hewitt Horn, Inc./400 N. Paulina, LLC",Matthew Ehrhard,400,,N,Paulina,St,27,West Town,Kinzie Industrial Corridor,4/7/2020,7/28/2021,General Commercial,"HVAC improvements, facade improvements including tuckpointing, and parapet repairs.",15927,38761,2,6,POINT (-87.669514 41.888922)
State Farm Insurance,Renato Delgadillo,6601,,S,Pulaski,Rd,13,West Lawn,63rd/Pulaski,3/19/2013,9/30/2013,Commercial,roofing,12187.5,16250,3,5,POINT (-87.72256400000002 41.772929)
Osman's Auto Repair,Osman Ismail,222,,N,Laflin,St,27,Near West Side,Kinzie Industrial Corridor,,2/2/2007,Commercial,"total renovations, total renovations",47960.25,200000,,,POINT (-87.664303 41.886361)
"Chicago Legal Clinic, Inc.",Edward Grossman,2938,,E,91st,St,10,South Chicago,Commercial Avenue,8/4/2015,11/28/2016,Commercial,"masonry repairs on west and north elevations including rebuilding the south end of the west elevation parapet wall, installing new steel lintels, tuckpointing the interior of the parapet, tuckpointing on upper section of north elevation, and restoration of limestone door sills at front entry; roofing repairs to refurbish the existing roofing system including application of an aluminized roof coating",100000,133394,0,10,POINT (-87.552337 41.730064)
Atolito Catering,Mohamed Abu Taleb,4429,,N,Broadway,St,46,Uptown,Wilson Yard,10/29/2011,10/19/2012,Commercial,,150000,203350,6,,POINT (-87.655473 41.962305)
West End Auto Sales,West End Auto Sales,125,,N,Cicero,Ave,28,Austin,Madison/Austin,,11/10/2004,Commercial,"Lighting / Signage / Office Renovations / paving / Black top / Fence Work, Lighting / Signage / Office Renovations / paving / Black top / Fence Work",29656.5,59313,,,POINT (-87.745322 41.882487)
Brian Farquhar,Brian Farquhar,4030,,S,Cottage Grove,Ave,4,Grand Boulevard,43rd/Cottage Grove,11/5/2008,8/11/2011,Commercial,Complete Renovation,52455,261733,,,POINT (-87.60680400000001 41.820673)
Midwest Fence Corporation,Everett J. Bell.,900,,N,Kedzie,Ave,27,Humboldt Park,Division/Homan,4/30/2019,5/4/2020,Manufacturing,"furnish and install overhead doors and steel insulated doors with associated hardware and heavy-duty trolley operators, furnish and install full HVAC systems, and removal and relocation of units as needed.; furnish and install overhead doors and steel insulated doors with associated hardware and heavy-duty trolley operators, furnish and install partial HVAC systems, and concrete flooring.",150000,357089,28,68,POINT (-87.70666300000002 41.89791)
Cedars Mediterranean Kitchen LLC,Sudki Abdullah,1206,,E,53rd,St,4,Hyde Park,53rd Street,,12/10/2008,Commercial,"floor, sign, kitchen, door, security system, foyer, return air component for hood, walk-in freezer, broiler",46497.44,100964.61,,,POINT (-87.596317 41.799486)
Demera Ethiopian Restaurant,Tigist Reda,4801,,N,Broadway,St,46,Uptown,Lawrence/Broadway,5/30/2012,6/26/2013,Commercial,,92250,125296,5,13,POINT (-87.65967 41.969052)
Three Pillars Wellness Center,Tim Wang,1516,,E,53rd,St,4,Hyde Park,53rd Street,,2/20/2009,Commercial,"build out walls, remove walls, remove 3 doors, 1 new door, floor, lectrical, lighting, signage, windows",6425,12850,,,POINT (-87.588418 41.799583)
Active Electrical Supply Co.,Susan Swan,4240,,W,Lawrence,Ave,39,Albany Park,Lawrence/Pulaski,8/9/2013,8/5/2014,Industrial,"a new storefront system with tempered glass and new aluminum capping, new masonry knee walls, tuckpointing and masonry repairs including lintel repairs and replacements, garage service door and rear entry door replacements, parking lot paving with asphalt and installation of new wrought iron fencing, installation of security camera system (DVR, monitors and software not included), installation of low voltage alarm system, and installation of new vinyl, wood based flooring spanning 5,000 SF, re-roofing including tuckpointing and masonry repairs on parapet walls and behind flashings, installation of new gutter and downspouts, tuckpointing and masonry repairs on east elevation, new exterior service doors, and installation of aluminum capping on fascia, trim and soffits",150000,306314.1,0,41,POINT (-87.73447500000002 41.96819)
"Chicago Booth Manufacturing, Inc.",David Bochniak,5000,,W,Roosevelt,Rd,29,Austin,Roosevelt/Cicero,10/30/2012,1/2/2014,Industrial,"electrical system (includes associated demolition and ceiling work), energy efficient lighting, electrical system upgrades (includes associated demolition and ceiling work) and plumbing (including washrooms),",20061,40122,3,20,POINT (-87.748336 41.865869)
Smitten Boutique LLC,Kirstin Martin,1047,,W,Madison,St,2,Near West Side,Near West,8/17/2010,11/4/2010,Commercial,Rooftop HVAC replacement,5733.75,8200,1,1,POINT (-87.653617 41.881623)
Byung Chan Min,Byung Chan Min,4300,,W,Lawrence,Ave,39,Albany Park,Lawrence/Pulaski,9/4/2011,8/15/2012,Commercial,interior and exterior rehab,150000,300830.27,4,8,POINT (-87.735536 41.968181)
Raven Theatre Company,Michael Menendian,6157,,N,Clark,St,48,Edgewater,Clark/Ridge,12/9/2014,1/6/2016,Commercial,"HVAC improvements including replacement of rooftop compressor unit, exhaust fan, and heat exchanger; removal and replacement of damaged tree grates in public way by front façade; tuckpointing on north elevation; exterior painting on north, west, and south elevations; replacement of concrete by front entryway; structural signage improvements including replacement of reader board sign hung on south elevation with new aluminum pan sign (not including Raven Theatre-specific applications), installation of backer panel for back lit illumination of existing sign on front façade, removal of defunct box sign on north elevation and replacement with LED illuminated box sign (not including Raven Theatre-specific applications), and installation of bolted frame on recessed western elevation for banner signs (not including printed banners); electrical work including up lighting (fixtures and wiring) of front façade signage, wiring for LED box sign, installation of gooseneck light fixtures and wiring on south elevation, and installation of new LED light fixtures with all new wiring using existing and new conduit; replacement of deteriorated carpeting with new carpet; architectural services",98931.08,132365.1,2,8,POINT (-87.670041 41.99379100000001)
"Adam Seafood, Inc. dba Shrimp House",Aicha Dahle,1800,,E,79th,St,8,South Shore,RTZ - South Shore,12/20/2019,1/7/2021,General Commercial,"demolish storefront and replace with new storefront system including new windows and entry door; interior demolition and buildout (walls, ceiling, trim, and painting), structural improvements, interior doors and front counter security glass wall; mechanical improvements including HVAC rooftop unit, ductwork, gas piping, exhaust fans, make-up air unit; electrical work including replacement of existing electrical panel, conduit, wiring, outlets, lighting, and access to exterior lighting; plumbing for restrooms and restaurant (underground piping, hot and cold water lines, grease trap, and plumbing fixtures); walk in cooler and kitchen hood; permit, architect and contractor fees",250000,366016,6,4,POINT (-87.580494 41.75155)
"4GetMeNot, Inc. dba 4Get Me Not Florist",Grazyna Pinas,5535,5539,W,Montrose,Ave,38,Portage Park,West Irving Park,10/6/2015,12/12/2016,Commercial,"construct new two-foot stone knee wall; build two (2) new columns at doorways; repairs as needed to parapet walls; install new bricks at side “wing walls” of Montrose Avenue elevation; furnish and install new storefront system items (frames, glass, and doors); furnish and install a new canopy with metal roof in connection with masonry work, cut openings for two (2) new skylights and new double window in back room  area and install new window and skylights; furnish and install one (1) metal door between back room and rear/garage area (including labor and materials for reconfiguring opening and installation of new lintels); construct a new opening for and furnish and install a new service door at rear/garage area and brick installation at former openings; furnish and install two (2) new exterior metal doors at rear elevation for 5535 and 5537 W. Montrose commercial units; demolition of existing cabinets and countertops in kitchen area; remove existing flooring in back room; replace concrete floor in the back room (demolition and excavation; install new drainage tiles; install compacted aggregate, insulation, and wire mesh; pour new concrete slab; install epoxy flooring finish); install two (2) new columns in back room/garage area after leveling floor; frame-out new mechanicals room and install two (2) new furnaces and associated duct work; install new electrical receptacles, emergency light, and exit sign; install new insulation for the back room/garage area; install drywall in middle room/kitchen as needed; install drywall in back room area; labor to install new cabinets and counters; and painting of back room/garage in connection with other projects.  Address range is 5535-9 W. Montrose.",100000,141957.9,0,6,POINT (-87.766164 41.960504)
Bokster Properties LLC,Zhouhao (Joe) Cui - 3201 S. Halsted St.,3201,,S,Halsted,St,11,Bridgeport,35th/Halsted,5/15/2018,4/24/2019,Commercial,"roofing repairs including installation of new modified bitumen membrane on all firewalls to cover entire brick and clay copings and top of parapet walls to be sealed to prevent water damage; rehabilitation of masonry façade including rebuilding the parapet walls, installation of new bricks and limestone as needed at north and west elevations, new flashing and termination bars, restoration work of decorative stones and limestone cornice, tuck-pointing, remove and reset copings at roofline; installation of new storefront glass, glass bi-fold windows (only at 751-53 W. 32nd Street), and entry doors; renovations at 3203 S. Halsted include installation of new flooring (ceramic, linoleum or vinyl), gut renovation of the restroom, new lighting fixtures, and repair walls and ceilings as needed; renovations at 751-55 W. 32nd Street include removal of existing flooring down to the joist system, replacement of joists and repairs as needed, installation of new sub-flooring and vinyl tile finishing, repair walls and ceilings as needed; electrical work including new electrical panels and junction boxes, and replacement of light fixtures, and painting and finishing work.",100000,145050,4,11,POINT (-87.646211 41.835639)
The Wooden Spoon,Sean Sheridan,5047,,N,Clark,St,46,Uptown,Clark/Montrose,,4/24/2003,Commercial,Façade / Roof / HVAC / Tuckpoint,50000,100000,,,POINT (-87.668127 41.97367)
Stephen Hill,Stephen Hill,9222,9244,S,Stony Island,Ave,8,Calumet Heights,Stony Island/Burnside,4/26/2011,2/13/2012,Commercial,"hvac, carpentry, roof, masontry, concrete, doors, chair list, electrical, signs, painting; address range is 9222-9244 S Stony Island Ave.",110410.91,147214.54,12,11,POINT (-87.585446 41.727046)
"Donald A. Cyze, Attorney at Law",Donald A. Cyze,3304,3306,W,111th,St,19,Mount Greenwood,111th/Kedzie,12/13/2014,12/7/2015,Commercial,"a façade renovation that included a new storefront, windows and doors, installation of bricks, stone sills, insulation, gutters and tuck-pointing, carpentry as needed, electrical, and roofing repairs as needed.  Address range is 3304-06 W. 111th St.",38976.62,53803.79,0,2,POINT (-87.703528 41.691523000000004)
